id,source_class,discipline,unit,chapter,topic,subtopic,question_type,difficulty,correct_option,figure_required,figures,generator_eligible,validation_status
NEET27-BIO-0626,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Moss stages,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0627,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0628,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Cancer and immunity disorders,Multi-statement analysis,Difficult,D,False,,True,PASS
NEET27-BIO-0629,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0630,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,PCR and analysis,Applied Classification,Medium,D,False,,True,PASS
NEET27-BIO-0631,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Prevention and public health,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0632,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Utility of stepwise oxidation,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0633,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Dicot stem with Dorsiventral leaf,Applied statement comparison,Medium,B,False,,True,PASS
NEET27-BIO-0634,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Sequence of electron carriers,Statement Based,Difficult,A,False,,True,PASS
NEET27-BIO-0635,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Human respiratory tract,Integrated Association Analysis,Medium,C,False,,True,PASS
NEET27-BIO-0636,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Mollusca,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0637,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Venation and Phyllotaxy,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0638,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Exponential growth and Logistic growth,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0639,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0640,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Identification and Author citation,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0641,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA replication,Cross-Concept Elimination,Difficult,A,False,,True,PASS
NEET27-BIO-0642,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Bacterial and protozoan diseases,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0643,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,ATP in contraction,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0644,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Cancer and immunity disorders,Match the Pair,Medium,C,False,,True,PASS
NEET27-BIO-0645,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA replication,Reverse Association,Easy,A,False,,True,PASS
NEET27-BIO-0646,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Frog fertilisation and Epithelial tissue,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0647,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Calvin-cycle carboxylation and Calvin-cycle phases,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0648,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0649,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Urine collecting spaces of the kidney,Statement Based,Medium,C,False,,True,PASS
NEET27-BIO-0650,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0651,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0652,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Reverse Association,Easy,D,False,,True,PASS
NEET27-BIO-0653,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Neuron structure,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0654,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Parenchyma and Collenchyma,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0655,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Population genetics,Match the Pair,Medium,D,False,,True,PASS
NEET27-BIO-0656,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Key transfers in the malaria life cycle,Diagram Interpretation,Easy,B,True,figures/NEET27-BIO-XII-CH07-FIG02.png,True,PASS
NEET27-BIO-0657,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0658,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Pteridophyte dominance,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0659,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Age structure of populations,Diagram Interpretation,Medium,A,True,figures/NEET27-BIO-XII-CH11-FIG02.png,True,PASS
NEET27-BIO-0660,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Frog digestive system,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0661,XII,Zoology,Unit 6: Reproduction,Human Reproduction,Human Reproduction,Early development,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0662,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,rDNA methodology,Integrated Association Analysis,Medium,A,False,,True,PASS
NEET27-BIO-0663,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Respiratory organs,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0664,XI,Zoology,Unit 5: Human Physiology,Chemical Coordination and Integration,Chemical Coordination and Integration,Endocrine disorders,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0665,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Limiting factors,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0666,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Core principles,Integrated Association Analysis,Medium,D,False,,True,PASS
NEET27-BIO-0667,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0668,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Special reproductive phenomena,Integrated Association Analysis,Medium,C,False,,True,PASS
NEET27-BIO-0669,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomes linkage and crossing over,Statement Completion,Medium,C,False,,True,PASS
NEET27-BIO-0670,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Endomembrane system,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0671,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0672,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0673,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0674,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0675,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Pyramid of energy,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0676,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0677,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0678,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Chromosomes linkage and crossing over,Reverse Association,Easy,A,False,,True,PASS
NEET27-BIO-0679,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Population change and Population density,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0680,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Properties of enzymes,Mixed Concept,Medium,D,False,,True,PASS
NEET27-BIO-0681,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Genetic terminology,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0682,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Taxonomic hierarchy and Taxon,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0683,XI,Zoology,Unit 2: Structural Organisation in Animals and Plants,Structural Organisation in Animals,Structural Organisation in Animals,Frog respiration and Frog circulation,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0684,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Kingdom Monera and Archaebacteria,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0685,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0686,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Isobilateral leaf with Stomatal apparatus,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0687,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Placentation,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0688,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex-linked inheritance,Cross-Concept Elimination,Difficult,D,False,,True,PASS
NEET27-BIO-0689,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,X-linked recessive inheritance,Diagram Interpretation,Easy,D,True,figures/NEET27-BIO-XII-CH04-FIG02.png,True,PASS
NEET27-BIO-0690,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Utility of stepwise oxidation,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0691,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Human evolution,Cross-Concept Elimination,Difficult,C,False,,True,PASS
NEET27-BIO-0692,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Sequence of electron carriers,Statement Based,Medium,A,False,,True,PASS
NEET27-BIO-0693,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Population growth models,Graph Analysis,Easy,A,True,figures/NEET27-BIO-XII-CH11-FIG01.png,True,PASS
NEET27-BIO-0694,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0695,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Match the Pair,Medium,C,False,,True,PASS
NEET27-BIO-0696,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Sex determination,Match the Pair,Medium,D,False,,True,PASS
NEET27-BIO-0697,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Starch,Comparison Based,Easy,B,False,,True,PASS
NEET27-BIO-0698,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Food web,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0699,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0700,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Plasma membrane and Cell wall,Statement I and Statement II,Medium,B,False,,True,PASS
NEET27-BIO-0701,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0702,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0703,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Drugs and addiction,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0704,XI,Zoology,Unit 5: Human Physiology,Neural Control and Coordination,Neural Control and Coordination,Central nervous system,Match the Pair,Medium,B,False,,True,PASS
NEET27-BIO-0705,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Post-fertilization development,Integrated Association Analysis,Medium,D,False,,True,PASS
NEET27-BIO-0706,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0707,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Gas transport,Applied Classification,Medium,C,False,,True,PASS
NEET27-BIO-0708,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0709,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Population density,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0710,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Working back from a measured ATP total,Multi-Step Numerical,Difficult,B,False,,True,PASS
NEET27-BIO-0711,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Arthropoda with Echinodermata,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-0712,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0713,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Slime moulds with Kingdom Fungi,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0714,XII,Botany,Unit 7: Genetics and Evolution,Principles of Inheritance and Variation,Principles of Inheritance and Variation,Non-Mendelian patterns,Applied Classification,Medium,B,False,,True,PASS
NEET27-BIO-0715,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Declining population and Exponential growth,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0716,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Cyclic photophosphorylation and Chemiosmosis,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0717,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Starch,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0718,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Protozoans and Kingdom Fungi,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0719,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Special reproductive phenomena,Reverse Association,Easy,A,False,,True,PASS
NEET27-BIO-0720,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Human evolution,Case Analysis,Difficult,A,False,,True,PASS
NEET27-BIO-0721,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,Gene regulation and genomics,Match the Pair,Medium,B,False,,True,PASS
NEET27-BIO-0722,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0723,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Pyramids of biomass with Ecosystem components,Applied statement comparison,Medium,D,False,,True,PASS
NEET27-BIO-0724,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Microsporogenesis and pollen,Cross-Concept Elimination,Difficult,B,False,,True,PASS
NEET27-BIO-0725,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Pollination,Applied Classification,Medium,A,False,,True,PASS
NEET27-BIO-0726,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0727,XI,Zoology,Unit 5: Human Physiology,Excretory Products and Their Elimination,Excretory Products and Their Elimination,Urinary bladder,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0728,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Seed habit and Gymnosperm ovules,Statement I and Statement II,Medium,C,False,,True,PASS
NEET27-BIO-0729,XI,Botany,Unit 3: Cell Structure and Function,Biomolecules,Biomolecules,Catabolic and anabolic pathways,Application Based,Difficult,A,False,,True,PASS
NEET27-BIO-0730,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0731,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Dicot root and Monocot root,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0732,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Consciousness,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0733,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Five-kingdom classification and Kingdom Monera,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0734,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0735,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0736,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0737,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology and Its Applications,Biotechnology and Its Applications,Agricultural applications,Multi-statement analysis,Difficult,C,False,,True,PASS
NEET27-BIO-0738,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,Core principles,Statement Completion,Medium,B,False,,True,PASS
NEET27-BIO-0739,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Adjacency of intermediates,Statement Based,Easy,D,False,,True,PASS
NEET27-BIO-0740,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Blood cells,Integrated Association Analysis,Medium,B,False,,True,PASS
NEET27-BIO-0741,XI,Zoology,Unit 5: Human Physiology,Breathing and Exchange of Gases,Breathing and Exchange of Gases,Mechanics of breathing,Statement Completion,Easy,A,False,,True,PASS
NEET27-BIO-0742,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0743,XI,Botany,Unit 3: Cell Structure and Function,Cell Cycle and Cell Division,Cell Cycle and Cell Division,Integrated chapter reasoning,Higher-order multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0744,XII,Botany,Unit 7: Genetics and Evolution,Molecular Basis of Inheritance,Molecular Basis of Inheritance,DNA replication,Integrated Association Analysis,Medium,C,False,,True,PASS
NEET27-BIO-0745,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0746,XI,Zoology,Unit 5: Human Physiology,Body Fluids and Circulation,Body Fluids and Circulation,Heart anatomy,Direct Concept,Easy,A,False,,True,PASS
NEET27-BIO-0747,XI,Zoology,Unit 5: Human Physiology,Locomotion and Movement,Locomotion and Movement,Thick filaments and Calcium regulation,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0748,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Differentiation,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0749,XII,Botany,Unit 10: Ecology and Environment,Ecosystem,Ecosystem,Ecosystem organization,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0750,XII,Zoology,Unit 8: Biology and Human Welfare,Human Health and Disease,Human Health and Disease,Viral and helminth diseases,Direct Concept,Easy,B,False,,True,PASS
NEET27-BIO-0751,XI,Botany,Unit 1: Diversity in Living World,Biological Classification,Biological Classification,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0752,XII,Botany,Unit 10: Ecology and Environment,Organisms and Populations,Organisms and Populations,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0753,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Brown algae,Direct NCERT-based,Easy,D,False,,True,PASS
NEET27-BIO-0754,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0755,XII,Botany,Unit 8: Biology and Human Welfare,Microbes in Human Welfare,Microbes in Human Welfare,Fermented dough and Toddy,Statement I and Statement II,Medium,A,False,,True,PASS
NEET27-BIO-0756,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Ribosomes with Cytoskeleton,Applied statement comparison,Medium,C,False,,True,PASS
NEET27-BIO-0757,XI,Botany,Unit 4: Plant Physiology,Photosynthesis in Higher Plants,Photosynthesis in Higher Plants,Photolysis and Non-cyclic photophosphorylation,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0758,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Morphology of Flowering Plants,Morphology of Flowering Plants,Floral whorls,Direct NCERT-based,Easy,A,False,,True,PASS
NEET27-BIO-0759,XI,Botany,Unit 2: Structural Organisation in Animals and Plants,Anatomy of Flowering Plants,Anatomy of Flowering Plants,Integrated chapter reasoning,Multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0760,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Speciation and adaptation,Match the Pair,Medium,A,False,,True,PASS
NEET27-BIO-0761,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Evidence of evolution,Match the Pair,Medium,B,False,,True,PASS
NEET27-BIO-0762,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Over-exploitation,Direct NCERT-based,Easy,C,False,,True,PASS
NEET27-BIO-0763,XII,Botany,Unit 6: Reproduction,Sexual Reproduction in Flowering Plants,Sexual Reproduction in Flowering Plants,Post-fertilization development,Cross-Concept Elimination,Difficult,A,False,,True,PASS
NEET27-BIO-0764,XI,Botany,Unit 1: Diversity in Living World,Plant Kingdom,Plant Kingdom,Integrated chapter reasoning,Multi-statement,Difficult,A,False,,True,PASS
NEET27-BIO-0765,XII,Botany,Unit 10: Ecology and Environment,Biodiversity and Conservation,Biodiversity and Conservation,Integrated chapter reasoning,Higher-order multi-statement,Difficult,B,False,,True,PASS
NEET27-BIO-0766,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Centrioles,Direct NCERT-based,Easy,B,False,,True,PASS
NEET27-BIO-0767,XI,Zoology,Unit 1: Diversity in Living World,Animal Kingdom,Animal Kingdom,Aschelminthes with Arthropoda,Applied statement comparison,Medium,A,False,,True,PASS
NEET27-BIO-0768,XII,Botany,Unit 9: Biotechnology and Its Applications,Biotechnology: Principles and Processes,Biotechnology: Principles and Processes,rDNA methodology,Integrated Association Analysis,Medium,C,False,,True,PASS
NEET27-BIO-0769,XII,Botany,Unit 7: Genetics and Evolution,Evolution,Evolution,Evolutionary theories,Direct Concept,Easy,C,False,,True,PASS
NEET27-BIO-0770,XI,Botany,Unit 4: Plant Physiology,Respiration in Plants,Respiration in Plants,Oxidative decarboxylation,Verbal Diagram Reasoning,Easy,D,True,figures/NEET27-BIO-XI-CH12-0055.png,True,PASS
NEET27-BIO-0771,XI,Botany,Unit 1: Diversity in Living World,The Living World,The Living World,Species and Taxonomic hierarchy,Statement I and Statement II,Medium,D,False,,True,PASS
NEET27-BIO-0772,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,C,False,,True,PASS
NEET27-BIO-0773,XI,Botany,Unit 3: Cell Structure and Function,Cell: The Unit of Life,Cell: The Unit of Life,Integrated chapter reasoning,Higher-order multi-statement,Difficult,D,False,,True,PASS
NEET27-BIO-0774,XI,Botany,Unit 4: Plant Physiology,Plant Growth and Development,Plant Growth and Development,Growth rates,Integrated Association Analysis,Medium,B,False,,True,PASS
